Clase;Edad;Sexo;Sobrevivio
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;Si
Primera;Adulto;Hombre;No
Primera;Adulto;Hombre;No
Primera;Adulto;Hombre;No
Primera;Adulto;Hombre;No
Primera;Adulto;Hombre;No
Primera;Adulto;Hombre;No
Primera;Adulto;Hombre;No
Primera;Adulto;Hombre;No
Primera;Adulto;Hombre;No
Primera;Adulto;Hombre;No
Primera;Adulto;Hombre;No
Primera;Adulto;Hombre;No
Primera;Adulto;Hombre;No
Primera;Adulto;Hombre;No
Primera;Adulto;Hombre;No
Primera;Adulto;Hombre;No
Primera;Adulto;Hombre;No
Primera;Adulto;Hombre;No
